t,px,py,pz,vx,vy,vz,qw,qx,qy,qz
1.428,0.0,0.0,1.4877290455701226,0.0,0.0,-0.004963350655987729,1.0,0.0,0.0,0.0
1.43,0.0,0.0,1.4877191899627444,0.0,0.0,-0.00489225672216281,1.0,0.0,0.0,0.0
1.432,0.0,0.0,1.4877094761848897,0.0,0.0,-0.004821521132612155,1.0,0.0,0.0,0.0
1.434,0.0,0.0,1.4876999035213483,0.0,0.0,-0.004751142408780201,1.0,0.0,0.0,0.0
1.436,0.0,0.0,1.4876904712598618,0.0,0.0,-0.004681119077749746,1.0,0.0,0.0,0.0
1.438,0.0,0.0,1.4876811786911117,0.0,0.0,-0.00461144967222126,1.0,0.0,0.0,0.0
1.44,0.0,0.0,1.487672025108709,0.0,0.0,-0.004542132730492257,1.0,0.0,0.0,0.0
1.442,0.0,0.0,1.487663009809182,0.0,0.0,-0.004473166796436723,1.0,0.0,0.0,0.0
1.444,0.0,0.0,1.487654132091966,0.0,0.0,-0.004404550419484644,1.0,0.0,0.0,0.0
1.446,0.0,0.0,1.4876453912593919,0.0,0.0,-0.004336282154601599,1.0,0.0,0.0,0.0
1.448,0.0,0.0,1.487636786616675,0.0,0.0,-0.004268360562268421,1.0,0.0,0.0,0.0
1.45,0.0,0.0,1.4876283174719043,0.0,0.0,-0.0042007842084609386,1.0,0.0,0.0,0.0
1.452,0.0,0.0,1.4876199831360313,0.0,0.0,-0.004133551664629778,1.0,0.0,0.0,0.0
1.454,0.0,0.0,1.487611782922859,0.0,0.0,-0.00406666150768027,1.0,0.0,0.0,0.0
1.456,0.0,0.0,1.4876037161490314,0.0,0.0,-0.004000112319952383,1.0,0.0,0.0,0.0
1.458,0.0,0.0,1.4875957821340222,0.0,0.0,-0.003933902689200758,1.0,0.0,0.0,0.0
1.46,0.0,0.0,1.4875879802001244,0.0,0.0,-0.0038680312085748137,1.0,0.0,0.0,0.0
1.462,0.0,0.0,1.4875803096724391,0.0,0.0,-0.003802496476598919,1.0,0.0,0.0,0.0
1.464,0.0,0.0,1.4875727698788654,0.0,0.0,-0.0037372970971526315,1.0,0.0,0.0,0.0
1.466,0.0,0.0,1.4875653601500889,0.0,0.0,-0.00367243167945102,1.0,0.0,0.0,0.0
1.468,0.0,0.0,1.4875580798195713,0.0,0.0,-0.003607898838025041,1.0,0.0,0.0,0.0
1.47,0.0,0.0,1.4875509282235406,0.0,0.0,-0.003543697192701999,1.0,0.0,0.0,0.0
1.472,0.0,0.0,1.4875439047009793,0.0,0.0,-0.0034798253685860816,1.0,0.0,0.0,0.0
1.474,0.0,0.0,1.4875370085936146,0.0,0.0,-0.003416281996038944,1.0,0.0,0.0,0.0
1.476,0.0,0.0,1.487530239245908,0.0,0.0,-0.003353065710660382,1.0,0.0,0.0,0.0
1.478,0.0,0.0,1.4875235960050441,0.0,0.0,-0.0032901751532690687,1.0,0.0,0.0,0.0
1.48,0.0,0.0,1.487517078220921,0.0,0.0,-0.00322760896988336,1.0,0.0,0.0,0.0
1.482,0.0,0.0,1.4875106852461395,0.0,0.0,-0.003165365811702167,1.0,0.0,0.0,0.0
1.484,0.0,0.0,1.4875044164359927,0.0,0.0,-0.0031034443350859116,1.0,0.0,0.0,0.0
