t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,cmd
36.484,-0.001082164989057039,1.961628460992604e-06,1.0018518540607158,-0.0007450121209774564,5.32484489021309e-12,-8.468061293348514e-05,0.9999999584274865,2.337210326994963e-12,0.0002883487910482076,2.1059545541731888e-17,hover
36.486,-0.0010836435600123488,1.9616284715496147e-06,1.0018516856003903,-0.0007335643602072857,5.232217322353935e-12,-8.377970942859974e-05,0.9999999586707545,2.3293718633209328e-12,0.00028750389413934545,2.0990912845559705e-17,hover
36.488,-0.0010850992709659786,1.961628481921697e-06,1.0018515189374826,-0.0007221521554808846,5.13991661166742e-12,-8.288319507973608e-05,0.9999999589148947,2.32149695608462e-12,0.0002866534646775288,2.0922422792070275e-17,hover
36.49,-0.0010865321932389466,1.961628492109506e-06,1.0018513540632326,-0.000710775715209042,5.0479441108891255e-12,-8.199105172264184e-05,0.9999999591598702,2.3135862386190916e-12,0.00028579758214478676,2.0856483913288858e-17,hover
36.492,-0.0010879423985659376,1.9616285021136996e-06,1.0018511909689163,-0.0006994352446502419,4.956301146720319e-12,-8.110326126568691e-05,0.9999999594056443,2.3056403137887773e-12,0.00028493632559494885,2.0791051607298797e-17,hover
36.494,-0.0010893299590890154,1.9616285119349378e-06,1.001851029645846,-0.0006881309459280925,4.86498902415068e-12,-8.021980568960638e-05,0.999999959652181,2.2976597542260564e-12,0.0002840697736540016,2.07237509213671e-17,hover
36.496,-0.001090694947351371,1.9616285215738835e-06,1.00185087008537,-0.000676863018048739,4.774009022691027e-12,-7.934066704719623e-05,0.9999999598994442,2.289645223040197e-12,0.00028319800452045825,2.0654584287885302e-17,hover
36.498,-0.0010920374362911047,1.9616285310312024e-06,1.0018507122788725,-0.0006656316569182576,4.683362397036019e-12,-7.846582746306464e-05,0.9999999601473986,2.281597308924142e-12,0.00028232109596574206,2.0586657687326858e-17,hover
36.5,-0.0010933574992350436,1.9616285403075625e-06,1.0018505562177726,-0.0006544370553600299,4.5930503789072574e-12,-7.75952691333276e-05,0.9999999603960086,2.273516614226775e-12,0.00028143912533458383,2.0519638536703316e-17,hover
36.502,-0.001094655209892593,1.961628549403634e-06,1.001850401893526,-0.0006432794031320992,4.5030741754442845e-12,-7.672897432535611e-05,0.9999999606452393,2.2654037219929716e-12,0.0002805521695454324,2.045080113699784e-17,hover
36.504,-0.0010959306423496242,1.96162855832009e-06,1.001850249297623,-0.000632158886944506,4.413434972120937e-12,-7.586692537749022e-05,0.9999999608950562,2.257259201539921e-12,0.00027966030509087855,2.0382910747290688e-17,hover
36.506,-0.0010971838710623944,1.9616285670576054e-06,1.0018500984215895,-0.0006210756904766033,4.32413393037845e-12,-7.500910469875944e-05,0.9999999611454248,2.249083652367563e-12,0.00027876360803809244,2.0315976020945374e-17,hover
36.508,-0.0010984149708515038,1.9616285756168577e-06,1.0018499492569868,-0.0006100299943943513,4.235172188387511e-12,-7.415549476863298e-05,0.999999961396311,2.2408776931026958e-12,0.0002778621540292736,2.024862771346426e-17,hover
36.51,-0.0010996240168958857,1.961628583998527e-06,1.0018498017954105,-0.00059902197636759,4.146550859656136e-12,-7.330607813673248e-05,0.9999999616476812,2.2326418681271893e-12,0.00027695601828211424,2.0180890857990902e-17,hover
36.512,-0.001100811084726831,1.9616285922032946e-06,1.0018496560284917,-0.0005880518110872909,4.05827103799192e-12,-7.246083742254554e-05,0.9999999618995021,2.2243767357035503e-12,0.00027604527559027536,2.0115183677100783e-17,hover
36.514,-0.0011019762502220483,1.961628600231845e-06,1.0018495119478956,-0.000577119670282785,3.970333792433819e-12,-7.161975531517928e-05,0.9999999621517407,2.216082906271926e-12,0.0002751300003238755,2.0048077907994865e-17,hover
36.516,-0.001103119589599758,1.9616286080848647e-06,1.0018493695453223,-0.0005662257227389689,3.8827401701726165e-12,-7.078281457305902e-05,0.9999999624043641,2.207760905140819e-12,0.0002742102664299919,1.9979945077612688e-17,hover
36.518,-0.0011042411794128198,1.9616286157630413e-06,1.0018492288125065,-0.000555370134313487,3.795491196117458e-12,-6.994999802369909e-05,0.99999996265734,2.199411342850087e-12,0.00027328614743317474,1.9912502794036857e-17,hover
36.52,-0.0011053410965428962,1.9616286232670654e-06,1.0018490897412167,-0.0005445530679538902,3.708587871285164e-12,-6.91212885633932e-05,0.9999999629106364,2.191034761253055e-12,0.0002723577164359732,1.98433687895976e-17,hover
36.522,-0.0011064194181946488,1.9616286305976295e-06,1.0018489523232557,-0.0005337746837147694,3.6220311763589733e-12,-6.82966691569586e-05,0.9999999631642214,2.1826317325305054e-12,0.0002714250461194738,1.977289920149006e-17,hover
36.524,-0.0011074762218899698,1.9616286377554276e-06,1.0018488165504604,-0.0005230351387748653,3.535822067593587e-12,-6.747612283748979e-05,0.9999999634180636,2.1742028151728756e-12,0.000270488208743851,1.9702823457495992e-17,hover
36.526,-0.0011085115854622474,1.9616286447411557e-06,1.0018486824147015,-0.0005123345874541523,3.4499614820977662e-12,-6.665963270605591e-05,0.9999999636721322,2.1657485102223668e-12,0.0002695472761489299,1.9632138463491686e-17,hover
36.528,-0.0011095255870506658,1.961628651555512e-06,1.0018485499078835,-0.0005016731812308962,3.364450334055251e-12,-6.58471819314438e-05,0.9999999639263962,2.157269442445545e-12,0.00026860231975476054,1.9560837031396664e-17,hover
36.53,-0.0011105183050945375,1.9616286581991963e-06,1.0018484190219445,-0.0004910510687586866,3.279289514729754e-12,-6.503875374990099e-05,0.9999999641808253,2.1487660910750925e-12,0.00026765341056220415,1.9493063700117512e-17,hover
36.532,-0.0011114898183276723,1.96162866467291e-06,1.001848289748856,-0.00048046839588344203,3.1944798973119145e-12,-6.423433146487639e-05,0.9999999644353893,2.140239004342959e-12,0.00026670061915353105,1.9424023998760584e-17,hover
36.534,-0.0011124402057727783,1.961628670977356e-06,1.0018481620806228,-0.0004699253056603879,3.1100223304436197e-12,-6.343389844671885e-05,0.9999999646900585,2.1316887498266708e-12,0.00026574401569303,1.9353725092229168e-17,hover
36.536,-0.0011133695467358973,1.96162867711324e-06,1.001848036009283,-0.0004594219383710073,3.0259176431811273e-12,-6.263743813245872e-05,0.9999999649448035,2.123115865013835e-12,0.00026478366992762893,1.928492284012576e-17,hover
36.538,-0.0011142779208008749,1.961628683081268e-06,1.0018479115269074,-0.00044895843153996344,2.9421666415387686e-12,-6.184493402551233e-05,0.9999999651995953,2.1145208629249974e-12,0.00026381965118752723,1.9214204132081368e-17,hover
36.54,-0.0011151654078238632,1.9616286888821487e-06,1.0018477886256003,-0.0004385349199519936,2.858770113229856e-12,-6.105636969542211e-05,0.9999999654544051,2.1059042869808434e-12,0.0002628520283868389,1.914466505775446e-17,hover
36.542,-0.001116032087927858,1.961628694516591e-06,1.0018476672974985,-0.0004281515356687746,2.7757288218400352e-12,-6.027172877760488e-05,0.9999999657092044,2.097266667111583e-12,0.00026188087002424674,1.9075286213592367e-17,hover
36.544,-0.0011168780414972696,1.961628699985307e-06,1.0018475475347715,-0.0004178084080457586,2.693043513612883e-12,-5.949099497308899e-05,0.9999999659639652,2.088608481405089e-12,0.000260906244183668,1.9005748117220924e-17,hover
36.546,-0.0011177033491725269,1.9616287052890083e-06,1.0018474293296211,-0.0004075056637489792,2.610714912587736e-12,-5.8714152048233034e-05,0.9999999662186599,2.0799302988483862e-12,0.0002599282185349302,1.893844735401556e-17,hover
36.548,-0.001118508091844716,1.96162871042841e-06,1.001847312674282,-0.00039724342677182744,2.5287437227541135e-12,-5.7941183834493784e-05,0.9999999664732612,2.0712325760649083e-12,0.00025894686033445816,1.8869979093732168e-17,hover
36.55,-0.0011192923506502504,1.9616287154042275e-06,1.0018471975610206,-0.0003870218184517976,2.4471306296554426e-12,-5.7172074228132444e-05,0.9999999667277417,2.062515838826809e-12,0.0002579622364259715,1.8800353012108288e-17,hover
36.552,-0.0011200562069655774,1.961628720217177e-06,1.0018470839821358,-0.0003768409574872013,2.3658762962831995e-12,-5.640680719000508e-05,0.9999999669820748,2.0537806323310272e-12,0.00025697441324119244,1.8729574018005916e-17,hover
36.554,-0.0011207997424019153,1.9616287248679775e-06,1.0018469719299585,-0.0003667009599538511,2.28498136630815e-12,-5.56453667452464e-05,0.9999999672362342,2.0450274279031187e-12,0.0002559834568005644,1.8656979348553028e-17,hover
36.556,-0.0011215230388000258,1.961628729357348e-06,1.0018468613968514,-0.0003566019393217113,2.2044464638519677e-12,-5.488773698304834e-05,0.9999999674901938,2.0362567549701904e-12,0.00025498943271398043,1.8588059028268634e-17,hover
36.558,-0.0011222261782250186,1.961628733686009e-06,1.001846752375209,-0.0003465440064715178,2.1242721926149063e-12,-5.413390205640125e-05,0.999999967743928,2.0274690636913953e-12,0.0002539924061815222,1.8520772439804803e-17,hover
36.56,-0.001122909242961189,1.961628737854683e-06,1.0018466448574574,-0.00033652726971136434,2.044459138988315e-12,-5.338384618182278e-05,0.9999999679974113,2.0186648788341665e-12,0.0002529924419942087,1.844997907506872e-17,hover
36.562,-0.0011235723155068906,1.961628741864092e-06,1.0018465388360542,-0.00032655183479325645,1.9650078663306947e-12,-5.2637553639102e-05,0.9999999682506188,2.009844711701819e-12,0.00025198960453475514,1.8377749009092836e-17,hover
36.564,-0.001124215478569438,1.961628745714961e-06,1.0018464343034885,-0.0003166178049296318,1.885918921428065e-12,-5.1895008771067365e-05,0.9999999685035256,2.0010090218432033e-12,0.00025098395777834164,1.8305130749016293e-17,hover
36.566,-0.0011248388150600457,1.961628749408015e-06,1.0018463312522805,-0.000306725280809847,1.8071928301653698e-12,-5.11561959833054e-05,0.9999999687561074,1.992158304993997e-12,0.00024997556529339157,1.8234532536441913e-17,hover
36.568,-0.0011254424080887968,1.9616287529439798e-06,1.0018462296749815,-0.0002968743606166301,1.728830100963641e-12,-5.042109974392863e-05,0.9999999690083403,1.983293027139123e-12,0.0002489644902423596,1.8165621331573096e-17,hover
36.57,-0.0011260263409596477,1.9616287563235832e-06,1.0018461295641738,-0.00028706514004249917,1.6508312224983601e-12,-4.9689704583303185e-05,0.9999999692602005,1.9744136685141022e-12,0.0002479507953825289,1.8093948461210403e-17,hover
36.572,-0.0011265906971654627,1.961628759547553e-06,1.0018460309124708,-0.00027729771230614525,1.573196665088435e-12,-4.896199509381255e-05,0.9999999695116647,1.9655207235016725e-12,0.0002469345430668186,1.8023637512654934e-17,hover
36.574,-0.0011271355603830841,1.9616287626166183e-06,1.0018459337125165,-0.0002675721681687811,1.4959268793868172e-12,-4.823795592959229e-05,0.9999999697627098,1.9566146348224805e-12,0.00024591579524459953,1.7954360800382988e-17,hover
36.576,-0.0011276610144684324,1.961628765531509e-06,1.0018458379569855,-0.00025788859595045365,1.4190222998129926e-12,-4.751757180629914e-05,0.9999999700133132,1.9476958650025977e-12,0.0002448946134625199,1.7885441726343733e-17,hover
36.578,-0.0011281671434516406,1.9616287682929562e-06,1.0018457436385828,-0.0002482470815463211,1.3424833406519227e-12,-4.680082750083268e-05,0.9999999702634524,1.9387649018272865e-12,0.00024387105886533957,1.7816198210917186e-17,hover
36.58,-0.0011286540315322208,1.9616287709016915e-06,1.0018456507500442,-0.00023864770844289355,1.266310398412651e-12,-4.608770785112162e-05,0.9999999705131054,1.9298221923397825e-12,0.0002428451921967737,1.7748014844030938e-17,hover
36.582,-0.0011291217630742634,1.961628773358447e-06,1.0018455592841353,-0.000229090557734237,1.19050385137772e-12,-4.5378197755856705e-05,0.9999999707622506,1.920868208902917e-12,0.0002418170738003451,1.7682267102778086e-17,hover
36.584,-0.0011295704226016677,1.9616287756639564e-06,1.001845469233652,-0.00021957570813814086,1.1150640599076649e-12,-4.467228217422787e-05,0.9999999710108664,1.9119033887690828e-12,0.00024078676362024516,1.761382305629087e-17,hover
36.586,-0.001130000094793406,1.961628777818953e-06,1.0018453805914205,-0.00021010323601224775,1.0399913667448707e-12,-4.396994612570747e-05,0.9999999712589318,1.902928194493519e-12,0.00023975432120220373,1.754509531627128e-17,hover
36.588,-0.0011304108644788187,1.961628779824172e-06,1.0018452933502964,-0.0002006732153701461,9.652860964546875e-13,-4.327117468979453e-05,0.9999999715064263,1.893943064507626e-12,0.00023871980569436764,1.7475754017090775e-17,hover
36.59,-0.0011308028166329438,1.9616287816803476e-06,1.0018452075031654,-0.00019128571789742464,8.90948556913874e-13,-4.257595300574767e-05,0.9999999717533292,1.884948451624889e-12,0.00023768327584818705,1.7404781261282254e-17,hover
36.592,-0.001131176036371875,1.9616287833882163e-06,1.0018451230429428,-0.00018194081296768884,8.169790374557785e-13,-4.188426627237787e-05,0.9999999719996207,1.8759447846094223e-12,0.0002366447900193111,1.733801845340983e-17,hover
36.594,-0.0011315306089481549,1.961628784948514e-06,1.0018450399625736,-0.00017263856765853874,7.43377811757871e-13,-4.119609974776782e-05,0.9999999722452808,1.866932490151336e-12,0.00023560440616849116,1.72713555982753e-17,hover
36.596,-0.0011318666197461988,1.961628786361978e-06,1.001844958255032,-0.000163379046767508,6.701451351234898e-13,-4.051143874906703e-05,0.9999999724902904,1.8579120367915643e-12,0.00023456218186249217,1.720068294611917e-17,hover
36.598,-0.0011321841542777504,1.9616287876293454e-06,1.0018448779133213,-0.00015416231282796376,5.972812452169589e-13,-3.983026865221235e-05,0.99999997273463,1.848883863426081e-12,0.00023351817427501258,1.7131156896496967e-17,hover
36.6,-0.0011324832981773687,1.961628788751354e-06,1.0018447989304746,-0.000144988426124967,5.247863632269082e-13,-3.915257489172133e-05,0.9999999729782811,1.8398483575510733e-12,0.0002324724401876117,1.7060052414032166e-17,hover
36.602,-0.0011327641371979486,1.961628789728742e-06,1.0018447212995536,-0.00013585744471109325,4.5266069469944487e-13,-3.8478342960421625e-05,0.9999999732212252,1.8308059651224756e-12,0.00023142503599064528,1.699046169457904e-17,hover
36.604,-0.0011330267572062702,1.961628790562248e-06,1.0018446450136491,-0.00012676942442221324,3.809044267114779e-13,-3.780755840924077e-05,0.9999999734634442,1.8217571190031943e-12,0.00023037601768420864,1.6922388712223144e-17,hover
36.606,-0.001133271244178582,1.9616287912526106e-06,1.0018445700658807,-0.00011772441889323314,3.095177312965168e-13,-3.714020684693264e-05,0.99999997370492,1.8127022116513935e-12,0.00022932544087908747,1.6853445694784325e-17,hover
36.608,-0.001133497684196215,1.9616287918005697e-06,1.0018444964493967,-0.00010872247957379418,2.3850076315207897e-13,-3.647627393987318e-05,0.9999999739456353,1.8036416939610617e-12,0.00022827336079771625,1.678534944243076e-17,hover
36.61,-0.0011337061634412264,1.9616287922068648e-06,1.001844424157374,-9.976365574393132e-05,1.6785366058542535e-13,-3.581574541179984e-05,0.9999999741855728,1.7945759434019645e-12,0.0002272198322751441,1.6719484420295537e-17,hover
36.612,-0.001133896768192078,1.9616287924722355e-06,1.0018443531830186,-9.084799452969085e-05,9.757654774686206e-14,-3.515860704359726e-05,0.9999999744247158,1.7855053356666005e-12,0.0002261649097600079,1.665380638164062e-17,hover
36.614,-0.0011340695848193422,1.9616287925974223e-06,1.0018442835195638,-8.197554091870634e-05,2.7669531901507188e-14,-3.450484467304323e-05,0.9999999746630474,1.7764303598004819e-12,0.00022510864731551303,1.6585564129768763e-17,hover
36.616,-0.0011342246997814412,1.961628792583165e-06,1.0018442151602718,-7.314633777573291e-05,-4.1867298315260735e-14,-3.3854444194581316e-05,0.9999999749005515,1.7673514038579691e-12,0.0002240510986204207,1.651546128454712e-17,hover
36.618,-0.0011343621996204169,1.9616287924302045e-06,1.001844148098433,-6.436042585813951e-05,-1.1103386689024866e-13,-3.320739155908285e-05,0.9999999751372122,1.7582687937326567e-12,0.0002229923169700427,1.6445583575892964e-17,hover
36.62,-0.0011344821709577317,1.9616287921392813e-06,1.0018440823273655,-5.5617843831358784e-05,-1.7983011305945654e-13,-3.2563672773621894e-05,0.9999999753730138,1.7491829853683026e-12,0.00022193235527724332,1.637866722967593e-17,hover
36.622,-0.0011345847004900996,1.9616287917111358e-06,1.0018440178404158,-4.6918628284294525e-05,-2.48255994136215e-13,-3.192327390122599e-05,0.9999999756079408,1.7400943612462115e-12,0.0002208712660734477,1.6311290530360322e-17,hover
36.624,-0.001134669874985349,1.9616287911465087e-06,1.0018439546309577,-3.8262813744686205e-05,-3.163114804744651e-13,-3.128618106066653e-05,0.9999999758419784,1.73100331849587e-12,0.00021980910150965727,1.6243118600888796e-17,hover
36.626,-0.001134737781278315,1.961628790446141e-06,1.0018438926923932,-2.9650432694430472e-05,-3.8399656035180954e-13,-3.065238042623079e-05,0.9999999760751116,1.7219102578468118e-12,0.0002187459133574716,1.6174501152306044e-17,hover
36.628,-0.001134788506266764,1.961628789610774e-06,1.0018438320181515,-2.1081515584859322e-05,-4.5131123557861477e-13,-3.002185822746199e-05,0.9999999763073261,1.7128155671511803e-12,0.00021768175301011745,1.610818779310168e-17,hover
36.63,-0.001134822136907347,1.961628788641148e-06,1.0018437726016896,-1.2556090851974691e-05,-5.182555244433291e-13,-2.9394600748958575e-05,0.9999999765386077,1.7037196159991643e-12,0.00021661667148348347,1.6040073254923237e-17,hover
36.632,-0.0011348387602115842,1.9616287875380035e-06,1.0018437144364916,-4.074184931639225e-06,-5.84829457757626e-13,-2.8770594330126113e-05,0.9999999767689426,1.6946227448035733e-12,0.000215550719417162,1.596915030640032e-17,hover
36.634,-0.0011348384632418806,1.9616287863020816e-06,1.001843657516069,4.364177725276991e-06,-6.510330822379876e-13,-2.8149825364967684e-05,0.9999999769983171,1.6855253746031203e-12,0.00021448394707549692,1.5898849725771754e-17,hover
36.636,-0.0011348213331075702,1.9616287849341226e-06,1.0018436018339603,1.2758974637794007e-05,-7.168664596739133e-13,-2.7532280301862426e-05,0.999999977226718,1.6764278531533932e-12,0.0002134164043486377,1.5830211415254988e-17,hover
36.638,-0.0011347874569609918,1.961628783434867e-06,1.0018435473837313,2.111018527976413e-05,-7.823296650243364e-13,-2.6917945643320397e-05,0.9999999774541324,1.6673305540000504e-12,0.00021234814075359973,1.576323897779552e-17,hover
36.64,-0.0011347369219935942,1.961628781805055e-06,1.0018434941589747,2.9417791064858773e-05,-8.47422789579469e-13,-2.63068079457404e-05,0.9999999776805475,1.6582338927650172e-12,0.00021127920543533046,1.569552693123999e-17,hover
36.642,-0.0011346698154320717,1.9616287800454266e-06,1.00184344215331,3.768177533160031e-05,-9.121459389435733e-13,-2.5698853819249525e-05,0.999999977905951,1.649138162483554e-12,0.00021020964716778179,1.5627099811560974e-17,hover
36.644,-0.0011345862245345291,1.961628778156722e-06,1.0018433913603833,4.590212332843912e-05,-9.764992300607323e-13,-2.5094069927415957e-05,0.9999999781303307,1.6400437480057694e-12,0.0002091395143549881,1.5558646497191488e-17,hover
36.646,-0.0011344862365866768,1.96162877613968e-06,1.0018433417738675,5.407882219887609e-05,-1.0404827971810222e-12,-2.4492442987065435e-05,0.9999999783536747,1.630951004931673e-12,0.00020806885503215025,1.5492232784787278e-17,hover
36.648,-0.0011343699388980555,1.961628773995041e-06,1.0018432933874617,6.221186096663073e-05,-1.1040967856450098e-12,-2.3893959768044983e-05,0.9999999785759716,1.6218603036490708e-12,0.00020699771686672502,1.5429228051892564e-17,hover
36.65,-0.0011342374187982911,1.9616287717235434e-06,1.0018432461948918,7.030123052085515e-05,-1.167341358282095e-12,-2.3298607092997916e-05,0.9999999787972099,1.612771996314973e-12,0.0002059261471595204,1.5365520594444795e-17,hover
36.652,-0.0011340887636333776,1.961628769325926e-06,1.00184320018991,7.83469236013941e-05,-1.2302166880090914e-12,-2.2706371837161328e-05,0.9999999790173788,1.603686411487352e-12,0.0002048541928457962,1.5300780701430957e-17,hover
36.654,-0.001133924060761991,1.961628766802927e-06,1.0018431553662943,8.634893478409129e-05,-1.2927229640198835e-12,-2.2117240928132203e-05,0.9999999792364676,1.594603925548806e-12,0.0002037819004963702,1.523466975978788e-17,hover
36.656,-0.0011337433975518322,1.961628764155284e-06,1.0018431117178492,9.430726046614217e-05,-1.3548603875093746e-12,-2.153120134565249e-05,0.9999999794544656,1.5855248527631985e-12,0.0002027093163187297,1.516686119658507e-17,hover
36.658,-0.0011335468613759981,1.961628761383735e-06,1.0018430692384048,0.00010222189885149341,-1.4166291737657758e-12,-2.0948240121399472e-05,0.9999999796713629,1.5764495442704e-12,0.00020163648615814813,1.5100790312224747e-17,hover
36.66,-0.0011333345396093838,1.961628758489017e-06,1.0018430279218176,0.00011009284993628913,-1.4780295501646605e-12,-2.0368344338756045e-05,0.9999999798871494,1.5673783166885582e-12,0.00020056345549880698,1.5037149303878672e-17,hover
36.662,-0.0011331065196251114,1.9616287554718666e-06,1.0018429877619692,0.00011792011549436435,-1.5390617576145224e-12,-1.979150113260997e-05,0.9999999801018155,1.5583115179904258e-12,0.00019949026946492274,1.4972168382409474e-17,hover
36.664,-0.0011328628887909901,1.9616287523330196e-06,1.0018429487527676,0.00012570369906278556,-1.5997260507039826e-12,-1.9217697689133618e-05,0.9999999803153518,1.5492495164432564e-12,0.00019841697282187889,1.4906192750877344e-17,hover
36.666,-0.001132603734466004,1.9616287490732116e-06,1.001842910888146,0.0001334436059274388,-1.6600226979583773e-12,-1.8646921245567255e-05,0.9999999805277491,1.5401926072954166e-12,0.00019734360997736278,1.4842322004336845e-17,hover
36.668,-0.001132329143996828,1.961628745693178e-06,1.0018428741620629,0.00014113984310866524,-1.7199519780042932e-12,-1.807915909000705e-05,0.9999999807389987,1.5311411008425803e-12,0.0001962702249825073,1.4779876276436166e-17,hover
36.67,-0.0011320392047143744,1.9616287421936523e-06,1.0018428385685025,0.0001487924193469447,-1.7795141840377371e-12,-1.7514398561197855e-05,0.9999999809490918,1.5220953333088332e-12,0.00019519686153303734,1.471577294764792e-17,hover
36.672,-0.0011317340039303664,1.9616287385753694e-06,1.0018428041014742,0.0001564013450886269,-1.838709619987562e-12,-1.6952627048320016e-05,0.9999999811580204,1.5130556119379248e-12,0.00019412356297042102,1.4649682249692527e-17,hover
36.674,-0.00113141362893394,1.961628734839062e-06,1.0018427707550124,0.00016396663247171124,-1.8975386035808734e-12,-1.639383199075669e-05,0.9999999813657761,1.504022264435044e-12,0.0001930503722830253,1.4584697614160492e-17,hover
36.676,-0.001131078166988276,1.961628730985463e-06,1.0018427385231767,0.00017148829531167436,-1.9560014644458497e-12,-1.5838000877928643e-05,0.9999999815723511,1.4949956224336066e-12,0.00019197733210727603,1.451979185904652e-17,hover
36.678,-0.0011307277053272584,1.961628727015304e-06,1.001842707400052,0.00017896634908734662,-2.014098545882704e-12,-1.528512124905028e-05,0.999999981777738,1.4859759995474801e-12,0.00019090448472882296,1.4455999096585248e-17,hover
36.68,-0.0011303623311521619,1.961628722929316e-06,1.0018426773797473,0.00018640081092683694,-2.0718302018900315e-12,-1.4735180692941372e-05,0.9999999819819293,1.4769636969510855e-12,0.00018983187208370826,1.4391612294637668e-17,hover
36.682,-0.0011299821316283674,1.96162871872823e-06,1.0018426484563971,0.00019379169959350657,-2.1291967993716364e-12,-1.4188166847809146e-05,0.9999999821849179,1.4679590143786346e-12,0.00018875953575953988,1.4328010063576418e-17,hover
36.684,-0.0011295871938821055,1.9616287144127754e-06,1.0018426206241602,0.00020113903547199172,-2.18619871559625e-12,-1.3644067401035118e-05,0.9999999823866971,1.4589622281874558e-12,0.0001876875169966692,1.4268629159830154e-17,hover
36.686,-0.0011291776049972284,1.9616287099836816e-06,1.00184259387722,0.0002084428405542753,-2.2428363401916894e-12,-1.3102870088995694e-05,0.9999999825872601,1.4499736847353585e-12,0.00018661585668937225,1.4206604184735968e-17,hover
36.688,-0.001128753452012008,1.9616287054416767e-06,1.0018425682097847,0.000215703138425808,-2.2991100754056355e-12,-1.2564562696833005e-05,0.9999999827866006,1.4409936519706732e-12,0.00018554459538703514,1.4144009350417876e-17,hover
36.69,-0.0011283148219159637,1.9616287007874877e-06,1.0018425436160863,0.00022291995425167854,-2.355020333245883e-12,-1.2029133058261889e-05,0.9999999829847126,1.4320224239839296e-12,0.0001844737732953437,1.4080509856220837e-17,hover
