t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,cmd
0.808,0.2531062050655899,-2.347662723437994e-19,1.0077715857595813,0.7719693403270589,-4.633009813072619e-19,0.0026393462687085137,0.9978728366013618,9.561274765433905e-20,0.06519050523774053,-2.020708389090933e-20,forward
0.81,0.2546525564273831,-2.3569673748428915e-19,1.0077768096350512,0.774381864968066,-4.672332503151392e-19,0.002584549733002393,0.9978744006086967,1.0606954997044176e-19,0.06516656051867617,-2.1272740510776697e-20,forward
0.812,0.2562037314176693,-2.3663548027337347e-19,1.0077819240817165,0.7767929672290967,-4.715783021539941e-19,0.0025299176649977925,0.9978759799194574,1.1647669478885645e-19,0.06514237253725692,-2.2334279215670788e-20,forward
0.8140000000000001,0.25775972718250906,-2.3758332423117e-19,1.007786929429967,0.7792026379534279,-4.763340927754577e-19,0.0024754515160683287,0.9978775742896988,1.2681214001152151e-19,0.06511794475954136,-2.3732843397264854e-20,forward
0.8160000000000001,0.2593205408497867,-2.385410887987417e-19,1.0077918260130734,0.7816108681211308,-4.814985868876325e-19,0.0024211527153104474,0.997879183476865,1.3707616384384994e-19,0.06509328063283543,-2.546764458630017e-20,forward
0.8180000000000001,0.26088616952948257,-2.395095893549159e-19,1.007796614167142,0.7840176488483108,-4.870697579818408e-19,0.0023670226696620032,0.997880807239794,1.4733592209198966e-19,0.06506838358570914,-2.65129035665707e-20,forward
0.8200000000000001,0.26245661031394485,-2.4048963723690444e-19,1.007801294231071,0.786422971386349,-4.93045591398888e-19,0.002313062764021531,0.9978824453387221,1.576138712765424e-19,0.06504325702801378,-2.6528332529253812e-20,forward
0.8220000000000001,0.26403186027815895,-2.4148203976603055e-19,1.0078058665465066,0.7888268271211437,-4.994240863122138e-19,0.0022592743613682326,0.9978840975352885,1.6788783085589045e-19,0.06501790435089969,-2.5858321311697174e-20,forward
0.8240000000000001,0.26561191648001603,-2.424876002751534e-19,1.007810331457799,0.7912292075723539,-5.062032540571993e-19,0.0022056588028826853,0.9978857635925398,1.781801962920467e-19,0.0649923289268347,-2.416256829943621e-20,forward
0.8260000000000001,0.2671967759605797,-2.43507118131801e-19,1.0078146893119593,0.7936301043926433,-5.133811185374665e-19,0.0021522174080681375,0.9978874432749333,1.8840202814458146e-19,0.06496653410962305,-2.2810453853229464e-20,forward
0.8280000000000001,0.26878643574435135,-2.44541388761485e-19,1.0078189404586155,0.7960295093669247,-5.209557130732495e-19,0.002098951474872495,0.9978891363483416,1.985757730138071e-19,0.06494052323442498,-2.1460450911524832e-20,forward
