waypoint,sindy_settle_s,mujoco_settle_s,sindy_final_error_m,mujoco_final_error_m
forward,1.8840000000000001,1.8840000000000001,0.0043785763084079,0.004354160890741434
back,1.8840000000000001,1.8840000000000001,0.0043746834865211635,0.004354160890741432
left,1.8860000000000001,1.8840000000000001,0.004373380093310896,0.004350958961952191
right,1.8860000000000001,1.8840000000000001,0.004373589439235696,0.004350958961952191
hover,0.0,0.0,1.960491265217064e-06,0.0
stop,0.0,0.0,1.960491265217064e-06,0.0
