threshold,n_active,held_out_deriv_r2,held_out_step_nrmse
0.001,136,0.9939922508462842,0.08221789014089466
0.01,88,0.9939932938318133,0.082200285988798
0.05,49,0.9942317131032496,0.08071759975785148
0.1,45,0.9944607323600326,0.07927782036267364
0.2,44,0.9945735350588508,0.07855063479842121
0.5,40,0.9906790061722275,0.10041640440603398
1.0,34,0.5876743618340813,0.6415179435570635
