noise_level,held_out_deriv_r2,held_out_step_nrmse,n_active
0.0,0.9945735350588508,0.07855063479842121,44
0.5,0.9938769915549679,0.08177044956897353,44
1.0,0.9920231710254446,0.09249289125513174,45
2.0,0.9423469648574089,0.2391404216690704,53
3.0,0.6354272599396622,0.6042314601652985,70
4.0,-2.1438312158481607,1.7742516922775888,91
